Time, Sensor 3, Sensor 2, Sensor 1, Sensor 0, 
2423,116.56,300,300, ,
2426,116.56,300,300, ,
2428,116.56,300,300, ,
2432,116.56,300,300, ,
2435,116.56,300,300, ,
2437,116.56,300,300, ,
2440,116.56,300,300, ,
2443,116.56,300,300, ,
2445,116.56,300,300, ,
2448,116.56,300,300,57.54,
2451, ,300,300,57.54,
2454, ,300,300,57.54,
2456, ,300,300,57.54,
2459, ,300,300,57.54,
2461, ,300,300,57.54,
2464, ,300,300,57.54,
2466, ,300,300,57.54,
2469, ,300,300,57.54,
2472, ,300,300,57.54,
2475, ,300,300,57.54,
2478, ,300,300,57.54,
2480, ,300,300,57.54,
2483, ,300,300,57.54,
2486,116.56, ,300,57.54,
2488,116.56, ,300,57.54,
2491,116.56, ,300,57.54,
2493,116.56, ,300,57.54,
2496,116.56, ,300,57.54,
2498,116.56, ,300,57.54,
2501,116.56, ,300,57.54,
2504,116.56, ,300,57.54,
2506,116.56, ,300,57.54,
2509,116.56, ,300,57.54,
2511,116.56, ,300,57.54,
2514,116.56, ,300,57.54,
2516,116.56, ,300,57.54,
2520,116.56,300, ,57.54,
2523,116.56,300, ,57.54,
2525,116.56,300, ,57.54,
2528,116.56,300, ,57.54,
2530,116.56,300, ,57.54,
2533,116.56,300, ,57.54,
2535,116.56,300, ,57.54,
2538,116.56,300, ,57.54,
2541,116.56,300, ,57.54,
2543,116.56,300, ,57.54,
2546,116.56,300, ,57.54,
2548,116.56,300, ,57.54,
2551,116.56,300, ,57.54,
2553,116.56,300,300, ,
2556,116.56,300,300, ,
2560,116.56,300,300, ,
2562,116.56,300,300, ,
2565,116.56,300,300, ,
2568,116.56,300,300, ,
2570,116.56,300,300, ,
2573,116.56,300,300, ,
2576,116.56,300,300, ,
2578,116.56,300,300, ,
2581,116.56,300,300, ,
2584,116.56,300,300, ,
2586,116.56,300,300, ,
2589,116.56,300,300,57.54,
2592, ,300,300,57.54,
2595, ,300,300,57.54,
2597, ,300,300,57.54,
2600, ,300,300,57.54,
2603, ,300,300,57.54,
2606, ,300,300,57.54,
2608, ,300,300,57.54,
